*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),錳(mg),維生素A總量(IU),視網醇當量(RE)(ug),視網醇(ug),α-胡蘿蔔素(ug),β-胡蘿蔔素(ug),維生素D總量(IU),維生素D總量(ug),維生素D2(ug),維生素D3(ug),維生素E總量(mg),α-維生素E當量(α-TE)(mg),α-生育酚(mg),β-生育酚(mg),γ-生育酚(mg),δ-生育酚(mg),維生素K1(ug),維生素K2 (MK-4)(ug),維生素K2 (MK-7)(ug),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),酪酸(4:0)(mg),己酸(6:0)(mg),辛酸(8:0)(mg),癸酸(10:0)(mg),月桂酸(12:0)(mg),十三酸(13:0)(mg),肉豆蔻酸(14:0)(mg),十五酸(15:0)(mg),棕櫚酸(16:0)(mg),十七酸(17:0)(mg),硬脂酸(18:0)(mg),十九酸(19:0)(mg),花生酸(20:0)(mg),山酸(22:0)(mg),廿四酸(24:0)(mg),脂肪酸M總量(mg),肉豆蔻烯酸(14:1)(mg),棕櫚烯酸(16:1)(mg),油酸(18:1)(mg),鱈烯酸(20:1)(mg),芥子酸(22:1)(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),十八碳四烯酸(18:4)(mg),花生油酸(20:4)(mg),廿碳五烯酸(20:5)(mg),廿二碳五烯酸(22:5)(mg),廿二碳六烯酸(22:6)(mg),其他脂肪酸(mg),P/M/S,反式脂肪(mg),水解胺基酸總量(mg),天門冬胺酸(Asp)(mg),酥胺酸(Thr)(mg),絲胺酸(Ser)(mg),麩胺酸(Glu)(mg),脯胺酸(Pro)(mg),甘胺酸(Gly)(mg),丙胺酸(Ala)(mg),胱胺酸(Cys)(mg),纈胺酸(Val)(mg),甲硫胺酸(Met)(mg),異白胺酸(Ile)(mg),白胺酸(Leu)(mg),酪胺酸(Tyr)(mg),苯丙胺酸(Phe)(mg),離胺酸(Lys)(mg),組胺酸(His)(mg),精胺酸(Arg)(mg),色胺酸(Trp)(mg),膽固醇(mg),酒精含量(g)
E7400302,蔬菜類,黑柿番茄,"樣品狀態:生,綠色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",5 ,23 ,21,93.6,0.4,0.1,,0.4,5.6,1.0,2.9,1.3,1.5,,0.0,0.0,0.0,1,189,10,7,0.4,0.2,19,0.050 ,,990,99,,,594,,,,,1.29 ,1.05 ,1.02 ,0.00 ,0.25 ,0.02 ,,,,0.06,0.02,0.57,0.14,,14.7,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7400303,蔬菜類,綠番茄,"樣品狀態:生,綠色系大果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3 ,25 ,22,93.1,0.9,0.1,,0.5,5.4,1.1,,,,,,,,6,210,11,13,0.4,0.2,21,,,2426,243,,50,1430,,,,,0.73 ,0.62 ,0.61 ,0.00 ,0.11 ,0.01 ,,,,0.05,0.03,0.52,0.11,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E74004,蔬菜類,小番茄平均值(紅色系),"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",1 ,33 ,30,90.9,0.9,0.2,0.1,0.6,7.4,1.7,5.1,2.4,2.7,0.0,0.0,0.0,0.0,6,269,14,11,0.8,0.2,24,,,11626,1163,,0,6976,0.00 ,0.00 ,0.00 ,0.00 ,0.93 ,0.63 ,0.60 ,0.00 ,0.31 ,0.02 ,2.62 ,0.00 ,0.00 ,0.07,0.05,0.60,0.20,,,43.5,103,0,0,0,0,0,0,3,0,69,0,10,0,6,7,8,50,0,5,40,5,0,22,13,8,0,0,0,0,0,3,1.00/2.33/4.80,0 ,,,,,,,,,,,,,,,,,,,,,
E7400401,蔬菜類,聖女小番茄,"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1 ,34 ,31,91.0,1.1,0.5,0.3,0.5,6.9,1.5,5.1,2.4,2.7,0.0,0.0,0.0,0.0,10,200,16,10,0.5,0.2,26,,,6097,610,,0,3658,0.00 ,0.00 ,0.00 ,0.00 ,1.15 ,0.83 ,0.80 ,0.00 ,0.33 ,0.02 ,2.62 ,0.00 ,0.00 ,0.04,0.04,0.59,0.15,,,49.9,273,0,0,0,0,0,0,9,0,184,0,26,0,15,19,22,133,0,13,106,13,0,57,36,21,0,0,0,0,0,8,1.00/2.33/4.80,0 ,,,,,,,,,,,,,,,,,,,,,
E7400402,蔬菜類,試交二號小番茄,"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1 ,30 ,26,91.5,0.7,0.0,,0.6,7.2,1.9,,,,,,,,3,271,13,11,0.5,0.2,24,,,4562,456,,0,2738,,,,,1.21 ,0.81 ,0.77 ,0.00 ,0.42 ,0.02 ,,,,0.08,0.05,0.46,0.18,,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7400403,蔬菜類,櫻桃小番茄,"樣品狀態:生,紅色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1 ,34 ,31,90.4,0.9,0.1,,0.6,8.1,1.6,,,,,,,,6,336,12,12,1.4,0.2,22,,,24218,2422,,0,14531,,,,,0.42 ,0.24 ,0.22 ,0.00 ,0.19 ,0.01 ,,,,0.08,0.05,0.74,0.28,,,50.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7400501,蔬菜類,黃金小蕃茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",,31 ,28,91.5,0.8,0.2,0.2,0.7,6.8,1.2,5.5,2.7,2.8,,0.0,0.0,0.0,3,390,11,12,0.3,0.0,25,0.002 ,,239,24,,,144,,,,,2.15 ,1.42 ,1.34 ,0.00 ,0.71 ,0.09 ,,,,0.09,0.06,0.64,0.14,,14.0,37.3,165,0,0,0,0,9,0,9,0,112,0,18,0,7,10,0,23,0,0,15,8,0,60,44,16,0,0,0,0,0,0,2.65/1.00/7.34,,,,,,,,,,,,,,,,,,,,,,
E74006,蔬菜類,小番茄平均值(橙色系),"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3 ,31 ,29,91.1,1.1,0.2,0.1,0.8,6.9,1.3,4.3,2.0,2.3,,0.0,0.0,0.0,4,247,12,11,0.3,0.4,18,0.002 ,,2800,280,,,1680,,,,,2.68 ,1.75 ,1.37 ,0.62 ,0.64 ,0.05 ,,,,0.08,0.04,0.94,0.20,,13.0,39.7,74,0,0,0,0,7,0,8,0,37,0,18,0,0,4,0,47,0,0,47,0,0,51,44,6,0,0,0,0,0,0,1.09/1.00/1.58,,,,,,,,,,,,,,,,,,,,,,
E7400601,蔬菜類,金女小番茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",,30 ,28,90.8,1.1,0.1,,1.4,6.6,1.2,4.9,2.3,2.6,,0.0,0.0,0.0,4,283,14,12,0.0,0.2,18,,,0,0,,,0,,,,,2.70 ,1.67 ,1.11 ,1.01 ,0.53 ,0.05 ,,,,0.07,0.03,1.35,0.19,,,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7400602,蔬菜類,黃金聖女小番茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",,31 ,28,91.4,1.0,0.1,0.0,0.5,7.0,1.6,4.1,2.0,2.1,,0.0,0.0,0.0,3,252,11,12,0.4,0.9,21,,,2525,253,,,1515,,,,,3.32 ,2.34 ,1.86 ,0.86 ,0.57 ,0.04 ,,,,0.09,0.05,0.89,0.22,,,37.8,48,0,0,0,0,2,0,3,0,25,0,17,0,0,0,0,62,0,0,62,0,0,23,21,2,0,0,0,0,0,0,1.00/2.69/2.08,,,,,,,,,,,,,,,,,,,,,,
E7400603,蔬菜類,橙蕃茄,"樣品狀態:生,橙色系小果; 前處理描述:去蒂,混合均勻打碎","柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",3 ,32 ,30,91.0,1.2,0.2,0.1,0.5,7.0,1.2,3.8,1.7,2.1,,0.0,0.0,0.0,3,208,11,10,0.4,0.0,14,0.002 ,,5875,588,,,3525,,,,,2.02 ,1.23 ,1.15 ,0.00 ,0.81 ,0.06 ,,,,0.07,0.05,0.57,0.21,,13.0,49.3,119,0,0,0,0,15,0,17,0,56,0,20,0,0,11,0,19,0,0,19,0,0,99,86,14,0,0,0,0,0,0,5.30/1.00/6.36,,,,,,,,,,,,,,,,,,,,,,
E7400701,蔬菜類,香瓜茄,"樣品狀態:生; 前處理描述:去蒂及籽,混合均勻打碎","香瓜梨,南美香瓜梨",3 ,26 ,25,93.0,0.4,0.1,,0.2,6.2,0.7,5.4,2.2,1.8,,0.0,1.3,0.0,3,131,7,5,0.2,0.2,9,0.038 ,,81,8,,,49,,,,,0.04 ,0.04 ,0.04 ,0.00 ,0.00 ,0.00 ,,,,0.02,0.03,0.19,0.05,,10.9,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E75001,蔬菜類,甜椒平均值(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","青椒,(甜)番椒,青辣椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",15 ,29 ,24,92.2,1.0,0.4,0.2,0.4,5.9,3.0,2.2,1.2,1.0,,0.0,0.0,0.0,2,196,12,15,0.4,0.4,25,0.008 ,,456,46,,10,269,,,,,0.75 ,0.57 ,0.54 ,0.03 ,0.15 ,0.03 ,,,,0.05,0.05,0.97,0.37,,27.6,107.5,244,0,0,0,0,0,0,9,0,169,1,39,0,13,8,5,48,0,2,39,6,0,155,126,29,0,0,0,0,0,0,3.26/1.00/5.13,,,,,,,,,,,,,,,,,,,,,,
E7500101,蔬菜類,甜椒(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",17 ,23 ,19,93.7,0.8,0.3,0.2,0.3,4.9,2.1,2.6,1.3,1.3,,0.0,0.0,0.0,4,144,10,10,0.5,0.2,19,0.008 ,,262,26,,10,152,,,,,0.66 ,0.65 ,0.65 ,0.00 ,0.01 ,0.00 ,,,,0.03,0.03,0.62,0.18,,27.6,94.9,177,0,0,0,0,0,0,11,0,105,0,31,0,13,10,7,36,0,0,28,8,0,58,41,17,0,0,0,0,0,0,1.59/1.00/4.87,,,,,,,,,,,,,,,,,,,,,,
E7500102,蔬菜類,小甜椒(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",17 ,35 ,28,90.8,1.4,0.5,,0.4,6.8,3.2,,,,,,,,0,211,13,15,0.6,0.6,25,,,672,67,,,403,,,,,0.85 ,0.45 ,0.40 ,0.02 ,0.34 ,0.09 ,,,,0.07,0.05,1.18,0.53,,,127.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7500103,蔬菜類,高山甜椒(青皮),"樣品狀態:生,青椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",8 ,30 ,23,92.1,0.9,0.6,0.2,0.4,6.0,3.6,1.8,1.1,0.8,,0.0,0.0,0.0,2,234,14,18,0.0,0.2,29,,,418,42,,,251,,,,,0.75 ,0.63 ,0.58 ,0.07 ,0.10 ,0.00 ,,,,0.04,0.08,1.10,0.40,,,99.9,243,0,0,0,0,0,0,0,0,202,4,32,0,5,0,0,44,0,5,39,0,0,266,228,38,0,0,0,0,0,0,6.09/1.00/5.57,,,,,,,,,,,,,,,,,,,,,,
E7500201,蔬菜類,甜椒(紅皮),"樣品狀態:生,彩椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(紅椒,紅番(辣)椒,紅色大唐)",,33 ,30,91.2,0.8,0.5,,0.4,7.1,1.6,,,,,,,,1,189,6,10,0.4,0.2,22,,,1786,179,,0,1072,,,,,2.01 ,1.87 ,1.83 ,0.07 ,0.09 ,0.02 ,,,,0.05,0.08,0.87,0.18,,,137.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7500301,蔬菜類,甜椒(黃皮),"樣品狀態:生,彩椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",,28 ,25,92.2,0.8,0.3,,0.6,6.0,1.9,,,,,,,,1,192,7,10,0.2,0.3,20,,,123,12,,16,66,,,,,1.41 ,1.34 ,1.30 ,0.08 ,0.02 ,0.01 ,,,,0.05,0.04,0.91,0.08,,,127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7500401,蔬菜類,甜椒(橙皮),"樣品狀態:生,彩椒; 前處理描述:去蒂及籽,混合均勻打碎","甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",9 ,35 ,32,90.7,0.9,0.3,0.1,0.4,7.7,1.3,5.6,2.5,3.1,,0.0,0.0,0.0,2,215,6,12,0.7,0.4,27,,,2919,292,,1041,1231,,,,,3.36 ,3.23 ,3.13 ,0.20 ,0.03 ,0.01 ,,,,0.06,0.04,0.88,0.25,,,100.8,80,0,0,0,0,2,5,6,1,48,1,15,0,0,2,1,25,0,2,23,0,0,162,115,47,0,0,0,0,0,1,6.44/1.00/3.18,,,,,,,,,,,,,,,,,,,,,,
E75005,蔬菜類,青辣椒平均值,"樣品狀態:生,青辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒(牛角辣椒,羊角辣椒,長辣(番)椒,青辣椒)",10 ,33 ,27,90.9,1.3,0.3,0.1,0.6,6.9,3.3,2.2,1.2,1.0,,0.0,0.0,0.0,2,223,13,14,0.3,0.8,27,,,570,57,,0,342,,,,,0.60 ,0.51 ,0.49 ,0.04 ,0.07 ,0.00 ,,,,0.07,0.06,1.17,0.40,,,178.2,99,0,0,0,2,1,1,2,0,71,1,18,0,2,0,0,51,0,1,50,0,0,150,127,23,0,0,0,0,0,0,2.97/1.00/1.96,,,,,,,,,,,,,,,,,,,,,,
E7500501,蔬菜類,角椒,"樣品狀態:生,青辣椒; 前處理描述:去蒂及籽,混合均勻打碎","辣椒,番椒,番仔薑,臘椒",17 ,22 ,17,93.6,0.9,0.2,,0.6,4.7,2.5,,,,,,,,2,184,10,11,0.2,0.1,18,,,1052,105,,0,631,,,,,0.29 ,0.29 ,0.29 ,0.00 ,0.00 ,0.00 ,,,,0.05,0.03,0.57,0.51,,,130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7500502,蔬菜類,長辣椒(青皮),"樣品狀態:生,青辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒",1 ,49 ,41,86.6,1.9,0.4,0.1,0.7,10.3,4.1,2.4,1.3,1.1,,0.0,0.0,0.0,3,277,14,18,0.5,0.3,32,,,323,32,,,194,,,,,1.26 ,1.03 ,0.96 ,0.09 ,0.20 ,0.01 ,,,,0.09,0.10,1.82,0.37,,,153.2,141,0,0,0,0,0,0,3,0,114,2,18,0,3,0,0,28,0,3,25,0,0,275,227,48,0,0,0,0,0,0,9.94/1.00/5.10,,,,,,,,,,,,,,,,,,,,,,
E7500503,蔬菜類,糯米椒,"樣品狀態:生,青辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒(伏見甘長辣椒)",11 ,28 ,22,92.3,1.2,0.3,0.1,0.5,5.6,3.2,2.1,1.1,0.9,,0.0,0.1,0.0,1,207,13,13,0.2,2.0,31,,,334,33,,,201,,,,,0.25 ,0.22 ,0.22 ,0.01 ,0.02 ,0.00 ,,,,0.08,0.05,1.11,0.31,,,250.5,102,0,0,0,4,3,2,2,0,65,1,23,0,2,0,0,82,0,0,82,0,0,113,100,13,0,0,0,0,0,0,1.39/1.00/1.25,,,,,,,,,,,,,,,,,,,,,,
E75006,蔬菜類,紅辣椒平均值,"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,牛角辣椒,羊角辣椒,長辣(番)椒,紅辣椒,臘椒",7 ,80 ,59,78.0,3.6,0.9,0.4,1.2,16.4,11.4,3.0,1.3,1.7,,0.0,0.0,0.0,6,517,21,36,1.7,0.5,76,0.031 ,,8863,887,,50,5293,,,,,6.98 ,6.08 ,5.96 ,0.05 ,0.96 ,0.02 ,,,,0.16,0.23,3.42,1.39,,33.0,153.4,363,0,0,0,0,18,0,41,0,210,5,44,0,17,15,12,106,0,5,97,4,0,392,276,116,0,0,0,0,0,0,3.69/1.00/3.41,,2462 ,462 ,102 ,128 ,474 ,99 ,126 ,107 ,46 ,102 ,25 ,84 ,148 ,76 ,104 ,121 ,56 ,189 ,12 ,,
E7500601,蔬菜類,長辣椒(紅皮),"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒",6 ,48 ,35,86.8,2.4,0.7,0.3,0.8,9.3,6.9,3.1,1.4,1.8,,0.0,0.0,0.0,14,361,16,26,3.1,0.3,55,0.027 ,,5111,511,,100,3017,,,,,6.38 ,5.59 ,5.47 ,0.07 ,0.81 ,0.04 ,,,,0.14,0.16,2.08,1.02,,34.4,154.4,298,0,0,0,0,17,0,38,0,163,8,39,0,17,9,8,52,0,9,44,0,0,340,215,125,0,0,0,0,0,0,6.50/1.00/5.69,,1513 ,333 ,68 ,89 ,304 ,46 ,89 ,61 ,29 ,58 ,10 ,45 ,80 ,37 ,57 ,70 ,35 ,97 ,7 ,,
E7500602,蔬菜類,朝天椒(長果),"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒",7 ,90 ,64,76.0,3.4,1.3,0.6,1.3,17.9,13.9,2.8,1.2,1.7,,0.0,0.0,0.0,3,564,15,44,1.0,0.7,89,0.035 ,,15399,1540,,,9240,,,,,5.29 ,4.48 ,4.35 ,0.08 ,0.86 ,0.00 ,,,,0.15,0.28,3.66,0.93,,31.5,171.5,554,0,0,0,0,22,0,56,0,340,0,62,0,21,30,22,231,0,0,218,13,0,564,446,118,0,0,0,0,0,0,2.44/1.00/2.40,,2532 ,392 ,108 ,132 ,472 ,104 ,134 ,118 ,51 ,111 ,27 ,93 ,170 ,90 ,119 ,138 ,58 ,184 ,29 ,,
E7500603,蔬菜類,朝天椒(圓果),"樣品狀態:生,紅辣椒; 前處理描述:去蒂,混合均勻打碎","辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒(雞心椒)",9 ,103 ,77,71.3,4.9,0.5,,1.3,21.9,13.4,,,,,,,,2,627,33,38,1.2,0.6,84,,,6038,604,,0,3623,,,,,9.27 ,8.18 ,8.06 ,0.00 ,1.20 ,0.01 ,,,,0.21,0.24,4.51,2.21,,,134.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3342 ,662 ,131 ,163 ,644 ,148 ,155 ,143 ,59 ,139 ,37 ,115 ,194 ,100 ,136 ,155 ,74 ,287 ,0 ,,
E7510101,蔬菜類,乾長辣椒(紅皮),"樣品狀態:乾貨,紅辣椒; 前處理描述:混合均勻打碎","辣椒,番椒,番仔薑,臘椒",,382 ,303,13.3,19.9,17.2,4.8,1.9,47.6,41.4,3.9,0.7,3.2,,0.0,0.0,0.0,40,2017,100,185,5.5,1.3,298,,,1785,179,,,1071,,,,,30.28 ,28.78 ,28.48 ,0.31 ,1.49 ,0.00 ,,,,0.19,1.15,16.04,2.12,,,0.0,4793,0,0,0,0,216,0,332,0,3445,38,572,0,75,62,52,2883,0,116,2699,0,68,9534,8451,1083,0,0,0,0,0,0,3.31/1.00/1.66,,12082 ,2319 ,467 ,502 ,1947 ,581 ,619 ,578 ,200 ,529 ,132 ,412 ,735 ,348 ,536 ,576 ,236 ,1256 ,109 ,,
E7600101,蔬菜類,黃秋葵,"樣品狀態:生; 前處理描述:去蒂,混合均勻打碎","秋葵,羊角豆,黃蜀葵,食香槿,假三念,黃葵",11 ,36 ,28,89.8,2.1,0.1,0.1,0.5,7.5,3.7,2.6,0.9,1.1,0.0,0.0,0.6,0.0,9,203,94,50,0.7,0.7,53,,,2258,226,,0,1355,0.00 ,0.00 ,0.00 ,0.00 ,0.45 ,0.30 ,0.27 ,0.04 ,0.12 ,0.02 ,94.48 ,0.00 ,0.00 ,0.02,0.10,1.01,0.05,,,11.3,53,0,0,0,0,0,0,1,0,43,0,0,0,3,4,2,8,0,0,6,1,0,63,44,18,0,0,0,0,0,2,8.24/1.00/6.99,0 ,,,,,,,,,,,,,,,,,,,,,
E7700101,蔬菜類,青花菜芽,"樣品狀態:生(含種皮,芽體,根毛); 前處理描述:混合均勻打碎","青花椰苗,青花菜苗,花菜苔芽",0 ,35 ,29,90.9,2.8,1.0,0.1,0.4,4.9,2.9,0.7,0.4,0.2,0.0,0.0,0.0,0.0,1,63,45,24,0.7,0.4,64,0.021 ,0.142 ,886,89,,,532,0.00 ,0.00 ,0.00 ,,4.35 ,2.34 ,2.10 ,0.05 ,2.15 ,0.05 ,158.39 ,0.00 ,0.00 ,0.04,0.10,1.67,0.20,,43.1,30.5,115,0,0,0,0,0,0,0,0,68,0,9,0,7,13,18,591,0,5,123,23,440,231,117,114,0,0,0,0,0,23,2.01/5.16/1.00,0 ,1629 ,136 ,89 ,84 ,314 ,81 ,91 ,112 ,16 ,116 ,25 ,84 ,123 ,67 ,74 ,86 ,59 ,50 ,21 ,,
E7700201,蔬菜類,苜蓿芽,樣品狀態:生; 前處理描述:混合均勻打碎,苜蓿嬰,,20 ,17,93.6,3.2,0.2,0.0,0.4,2.5,1.8,0.3,0.1,0.1,,0.0,0.0,0.0,65,249,41,45,0.7,0.3,48,0.048 ,,106,11,,0,64,,,,,1.61 ,1.54 ,1.53 ,0.01 ,0.08 ,0.00 ,,,,0.07,0.10,0.35,0.14,,27.4,6.6,45,0,0,0,0,0,0,1,0,26,0,4,0,4,5,5,10,0,0,7,1,3,52,28,12,0,12,0,0,0,0,4.99/1.00/4.39,,2217 ,669 ,100 ,108 ,200 ,63 ,86 ,101 ,15 ,111 ,21 ,81 ,116 ,57 ,99 ,112 ,85 ,141 ,51 ,,
E7700301,蔬菜類,紫甘藍芽,"樣品狀態:生(含種皮,芽體,根毛); 前處理描述:混合均勻打碎",,,32 ,27,92.0,0.2,0.7,0.1,0.4,6.6,2.9,0.6,0.4,0.1,,0.0,0.0,0.0,2,64,52,29,1.3,0.6,75,,,243,24,,,146,,,,,1.96 ,1.92 ,1.91 ,0.00 ,0.04 ,0.00 ,,,,0.11,0.11,1.22,0.22,,44.0,27.3,75,0,0,0,0,0,0,0,0,43,0,8,0,5,7,11,448,0,3,115,45,285,133,86,47,0,0,0,0,0,15,1.79/6.01/1.00,,,,,,,,,,,,,,,,,,,,,,
E7700401,蔬菜類,黃豆芽,樣品狀態:生; 前處理描述:混合均勻打碎,大豆芽,,47 ,41,87.4,5.3,1.6,0.3,0.7,5.0,3.3,0.4,0.0,0.4,,0.0,0.0,0.0,7,274,19,32,1.1,0.8,86,0.084 ,,33,3,,,20,,,,,2.33 ,0.49 ,0.31 ,0.10 ,1.18 ,0.75 ,,,,0.09,0.10,0.31,0.18,,111.2,3.3,333,0,0,0,0,0,0,3,0,232,3,75,0,7,10,4,314,0,2,312,0,0,968,844,125,0,0,0,0,0,2,3.08/1.00/1.06,,5277 ,1028 ,208 ,285 ,751 ,176 ,205 ,262 ,50 ,241 ,41 ,234 ,420 ,179 ,255 ,316 ,153 ,397 ,77 ,,
E7700402,蔬菜類,"黃豆芽(有機,2023年取樣)",樣品狀態:生; 前處理描述:混合均勻打碎,大豆芽,0 ,41 ,35,88.2,5.1,1.0,0.2,0.7,5.0,3.2,0.5,0.2,0.3,0.0,0.0,0.0,0.0,2,274,40,44,0.9,0.6,77,0.151 ,0.497 ,96,10,,,58,0.00 ,0.00 ,0.00 ,,1.88 ,0.48 ,0.32 ,0.09 ,1.06 ,0.42 ,71.85 ,0.00 ,0.00 ,0.10,0.11,0.69,0.13,,223.9,18.5,203,0,0,0,0,0,0,0,0,144,0,47,0,6,6,0,186,0,0,186,0,0,581,502,79,0,0,0,0,0,0,3.12/1.00/1.09,0 ,4278 ,1167 ,146 ,218 ,483 ,182 ,157 ,190 ,31 ,224 ,40 ,177 ,283 ,115 ,204 ,221 ,127 ,263 ,49 ,,
